"","month","indexP"
"1","2014-01-01",1.3972488493703
"2","2014-02-01",1.24542476561129
"3","2014-03-01",1.52491096049847
"4","2014-04-01",1.31849114470756
"5","2014-05-01",0.668654276799404
"6","2014-06-01",0.525627274105914
"7","2014-07-01",0.476595780681
"8","2014-08-01",0.405479320095292
"9","2014-09-01",0.724163654603938
"10","2014-10-01",0.64081413868799
"11","2014-11-01",1.40449378735864
"12","2014-12-01",1.47224527331074
"13","2015-01-01",1.25564549395877
"14","2015-02-01",1.61945443173383
"15","2015-03-01",1.82950285432818
"16","2015-04-01",1.74458879208164
"17","2015-05-01",0.92659054582953
"18","2015-06-01",0.68291066310634
"19","2015-07-01",0.730056547184441
"20","2015-08-01",0.479416810630745
"21","2015-09-01",1.13602981478845
"22","2015-10-01",1.16223061420186
"23","2015-11-01",2.15150126707286
"24","2015-12-01",2.24555778702751
"25","2016-01-01",2.70741751550567
"26","2016-02-01",2.36472843028168
"27","2016-03-01",2.34754280037282
"28","2016-04-01",1.10884359708402
"29","2016-05-01",1.07047463571856
"30","2016-06-01",0.940839089815846
"31","2016-07-01",0.433794878291507
"32","2016-08-01",0.588560661627424
"33","2016-09-01",0.666934371445207
"34","2016-10-01",1.31738161242216
"35","2016-11-01",1.59584032589941
"36","2016-12-01",1.96790132903404
"37","2017-01-01",2.32250934931992
"38","2017-02-01",1.76313506015709
"39","2017-03-01",1.72192885843342
"40","2017-04-01",1.53047622250024
"41","2017-05-01",1.28203222018366
"42","2017-06-01",0.684588101169357
"43","2017-07-01",0.323529319816663
"44","2017-08-01",0.596377037469925
"45","2017-09-01",0.514798142440969
"46","2017-10-01",0.982773435077349
"47","2017-11-01",1.4765032848049
"48","2017-12-01",1.81058081913546
"49","2018-01-01",2.00799104976065
"50","2018-02-01",1.87971165513014
"51","2018-03-01",1.92904068218886
"52","2018-04-01",1.04065494685975
"53","2018-05-01",0.655778390081955
"54","2018-06-01",0.685342363388013
"55","2018-07-01",0.3951401851863
"56","2018-08-01",0.580219810272273
"57","2018-09-01",0.878584302096678
"58","2018-10-01",1.62634218852708
"59","2018-11-01",1.77625147411633
"60","2018-12-01",1.67976636354471
"61","2019-01-01",1.69778956716031
"62","2019-02-01",2.06347736848416
"63","2019-03-01",2.03667210952082
"64","2019-04-01",1.60176501059464
"65","2019-05-01",1.20297554462424
"66","2019-06-01",0.567485392638254
"67","2019-07-01",0.355290053169932
"68","2019-08-01",0.496521373353915
"69","2019-09-01",0.824660392812914
"70","2019-10-01",1.02793119123406
"71","2019-11-01",1.62077761529153
"72","2019-12-01",1.83263780366251
"73","2020-01-01",2.20942367031313
"74","2020-02-01",2.11872427464533
"75","2020-03-01",1.20236097390873
"76","2020-04-01",0.876290884050039
"77","2020-05-01",0.442948869657548
"78","2020-06-01",0.781269519766246
